Algorithm,InputType,Size,Comparisons,MaxDepth,TimeNs
MergeSort,random,100,668,4,652600
QuickSort,random,100,871,4,952600
QuickSelect,random,100,612,1,784100
MergeSort,sorted,100,244,4,23200
QuickSort,sorted,100,1013,3,109100
QuickSelect,sorted,100,479,1,27700
MergeSort,duplicates,100,569,4,63300
QuickSort,duplicates,100,417,2,20400
QuickSelect,duplicates,100,462,1,18100
MergeSort,random,1000,10233,7,1265300
QuickSort,random,1000,16408,6,815700
QuickSelect,random,1000,7372,1,614100
MergeSort,sorted,1000,3956,7,480100
QuickSort,sorted,1000,16720,6,375900
QuickSelect,sorted,1000,4584,1,315400
MergeSort,duplicates,1000,9051,7,136000
QuickSort,duplicates,1000,4771,2,36300
QuickSelect,duplicates,1000,2163,1,75400
MergeSort,random,10000,127064,11,2333100
QuickSort,random,10000,266897,8,2355300
QuickSelect,random,10000,43691,1,1490000
MergeSort,sorted,10000,59248,11,1020500
QuickSort,sorted,10000,254321,8,1793100
QuickSelect,sorted,10000,67075,1,2159300
MergeSort,duplicates,10000,115358,11,1741400
QuickSort,duplicates,10000,47989,1,412400
QuickSelect,duplicates,10000,27913,1,303400
